from_title,from_date,to_title,to_date,years_between,long_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
How Does An Inefficient Market Get That Way,1994-07-15,Uncertainty II,2020-05-28,25.9,1.2956,-1.4286,opportunistic,humble,warning,forecasting,"macro (+4.15), uncertainty (+2.91), politics (+1.66)","credit (-24.64), valuation (-9.49), risk (-5.45)","stance moves from opportunistic to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+4.15), uncertainty (+2.91), politics (+1.66); less emphasis on credit (-24.64), valuation (-9.49), risk (-5.45)"
"We're Not In 1999 Anymore, Toto",2000-12-31,What Worries Me,2008-08-28,7.7,1.2951,0.8854,neutral,constructive,forecasting,forecasting,"macro (+5.41), valuation (+4.10), credit (+2.98)",risk (-9.06),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+5.41), valuation (+4.10), credit (+2.98); less emphasis on risk (-9.06)"
You Can’t Eat IRR,2006-07-12,The Folly of Certainty,2024-07-17,18.0,1.2923,-1.1071,constructive,humble,warning,forecasting,"rates (+9.28), macro (+8.68), politics (+3.47)","valuation (-23.37), credit (-1.89), risk (-1.73)","stance moves from constructive to humble; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+9.28), macro (+8.68), politics (+3.47); less emphasis on valuation (-23.37), credit (-1.89), risk (-1.73)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Inspiration from the World of Sports,2015-10-22,14.8,1.2887,0.9118,neutral,constructive,forecasting,forecasting,"valuation (+3.42), technology_ai (+0.98), credit (+0.73)",risk (-9.19),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.42), technology_ai (+0.98), credit (+0.73); less emphasis on risk (-9.19)"
"We're Not In 1999 Anymore, Toto",2000-12-31,The Lessons of Oil,2014-12-18,14.0,1.2863,0.825,neutral,opportunistic,forecasting,forecasting,"valuation (+10.86), credit (+5.26), macro (+4.94)",risk (-9.43),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+10.86), credit (+5.26), macro (+4.94); less emphasis on risk (-9.43)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Political Reality Meets Economic Reality,2019-01-30,18.1,1.2823,0.8409,neutral,constructive,forecasting,forecasting,"macro (+7.20), politics (+6.30), prediction (+1.08)",risk (-9.25),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+7.20), politics (+6.30), prediction (+1.08); less emphasis on risk (-9.25)"
"We're Not In 1999 Anymore, Toto",2000-12-31,A Fresh Start (Hopefully),2012-11-09,11.9,1.281,0.8636,neutral,constructive,forecasting,forecasting,"politics (+11.45), macro (+5.89), credit (+1.96)",risk (-9.11),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+11.45), macro (+5.89), credit (+1.96); less emphasis on risk (-9.11)"
How's the Market?,1999-04-15,Uncertainty II,2020-05-28,21.1,1.2721,-1.4286,constructive,humble,forecasting,forecasting,"prediction (+3.74), risk (+2.91), uncertainty (+2.91)","rates (-8.41), valuation (-6.11), macro (-4.26)","stance moves from constructive to humble; later memo is materially more defensive / bearish in tone; greater emphasis on prediction (+3.74), risk (+2.91), uncertainty (+2.91); less emphasis on rates (-8.41), valuation (-6.11), macro (-4.26)"
Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,On Regulation,2011-03-02,17.1,1.2664,-1.6273,opportunistic,alarmed,forecasting,forecasting,"politics (+18.63), cycles (+4.46), macro (+3.56)","credit (-13.86), valuation (-11.27), psychology (-7.38)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+18.63), cycles (+4.46), macro (+3.56); less emphasis on credit (-13.86), valuation (-11.27), psychology (-7.38)"
"We're Not In 1999 Anymore, Toto",2000-12-31,It’s All Very Taxing,2011-11-16,10.9,1.266,0.8889,neutral,constructive,forecasting,forecasting,"politics (+6.57), rates (+5.26), macro (+4.88)",risk (-8.68),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.57), rates (+5.26), macro (+4.88); less emphasis on risk (-8.68)"
You Can’t Eat IRR,2006-07-12,Down to the Wire,2011-07-21,5.0,1.2644,-1.0769,constructive,alarmed,warning,forecasting,"credit (+14.51), macro (+8.97), politics (+4.64)","valuation (-23.80), risk (-0.62), psychology (-0.27)","stance moves from constructive to alarmed; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+14.51), macro (+8.97), politics (+4.64); less emphasis on valuation (-23.80), risk (-0.62), psychology (-0.27)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Not Enough,2020-06-11,19.4,1.2586,0.7143,neutral,opportunistic,forecasting,forecasting,"macro (+5.22), politics (+1.74), psychology (+1.74)",risk (-9.43),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+5.22), politics (+1.74), psychology (+1.74); less emphasis on risk (-9.43)"
How's the Market?,1999-04-15,On Bubble Watch,2025-01-02,25.7,1.257,-1.2,constructive,alarmed,forecasting,warning,"technology_ai (+1.76), risk (+1.69), psychology (+1.45)","rates (-7.21), macro (-5.76), credit (-2.19)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+1.76), risk (+1.69), psychology (+1.45); less emphasis on rates (-7.21), macro (-5.76), credit (-2.19)"
How's the Market?,1999-04-15,How Quickly They Forget,2011-05-25,12.1,1.2526,-1.3,constructive,alarmed,forecasting,warning,"risk (+12.20), credit (+11.23), psychology (+3.44)","macro (-7.47), rates (-4.66), technology_ai (-2.10)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+12.20), credit (+11.23), psychology (+3.44); less emphasis on macro (-7.47), rates (-4.66), technology_ai (-2.10)"
How's the Market?,1999-04-15,So Much That’s False and Nutty,2009-07-08,10.2,1.2494,-0.9111,constructive,alarmed,forecasting,warning,"risk (+14.79), credit (+5.14), psychology (+1.08)","macro (-7.69), rates (-7.69), valuation (-2.67)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+14.79), credit (+5.14), psychology (+1.08); less emphasis on macro (-7.69), rates (-7.69), valuation (-2.67)"
Investment Miscellany,2000-11-16,Political Reality,2016-08-17,15.8,1.2489,1.3333,alarmed,constructive,warning,forecasting,"politics (+6.43), macro (+4.97), psychology (+0.54)","valuation (-7.95), risk (-4.81), technology_ai (-3.87)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.43), macro (+4.97), psychology (+0.54); less emphasis on valuation (-7.95), risk (-4.81), technology_ai (-3.87)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Go Figure!,2026-03-24,25.2,1.2448,0.7143,neutral,constructive,forecasting,forecasting,"macro (+8.81), rates (+8.81), politics (+8.46)",risk (-9.08),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+8.81), rates (+8.81), politics (+8.46); less emphasis on risk (-9.08)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Shall We Repeal the Laws of Economics?,2024-09-19,23.7,1.2405,0.7,neutral,constructive,forecasting,forecasting,"macro (+8.24), politics (+6.76), valuation (+4.94)",risk (-9.10),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+8.24), politics (+6.76), valuation (+4.94); less emphasis on risk (-9.10)"
On Regulation,2011-03-02,Mr. Market Miscalculates,2024-08-22,13.5,1.2399,1.5853,alarmed,constructive,forecasting,forecasting,"psychology (+6.11), rates (+5.13), valuation (+4.81)","politics (-18.63), risk (-4.86), cycles (-0.55)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+6.11), rates (+5.13), valuation (+4.81); less emphasis on politics (-18.63), risk (-4.86), cycles (-0.55)"
You Can’t Eat IRR,2006-07-12,Mysterious,2019-10-17,13.3,1.2373,-1.1875,constructive,alarmed,warning,forecasting,"rates (+33.44), credit (+12.24), macro (+9.06)",valuation (-18.73),"stance moves from constructive to alarmed; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+33.44), credit (+12.24), macro (+9.06); less emphasis on valuation (-18.73)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,On Bubble Watch,2025-01-02,28.4,1.2312,-1.2,constructive,alarmed,forecasting,warning,"technology_ai (+3.86), valuation (+3.34), psychology (+1.45)","prediction (-19.77), rates (-6.85), credit (-2.69)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on technology_ai (+3.86), valuation (+3.34), psychology (+1.45); less emphasis on prediction (-19.77), rates (-6.85), credit (-2.69)"
Investment Miscellany,2000-11-16,A Fresh Start (Hopefully),2012-11-09,12.0,1.2294,1.197,alarmed,constructive,warning,forecasting,"politics (+11.45), macro (+4.78), cycles (+0.98)","valuation (-9.56), risk (-5.56), technology_ai (-3.39)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+11.45), macro (+4.78), cycles (+0.98); less emphasis on valuation (-9.56), risk (-5.56), technology_ai (-3.39)"
How Quickly They Forget,2011-05-25,Political Reality Meets Economic Reality,2019-01-30,7.7,1.2279,1.1409,alarmed,constructive,warning,forecasting,"politics (+6.30), macro (+6.27), technology_ai (+0.18)","credit (-14.21), risk (-12.02), valuation (-5.04)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.30), macro (+6.27), technology_ai (+0.18); less emphasis on credit (-14.21), risk (-12.02), valuation (-5.04)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Economic Reality,2016-05-26,15.4,1.219,0.6389,neutral,constructive,forecasting,forecasting,"macro (+8.84), politics (+2.83), rates (+2.47)",risk (-8.73),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+8.84), politics (+2.83), rates (+2.47); less emphasis on risk (-8.73)"
How's the Market?,1999-04-15,The Indispensability of Risk,2024-04-17,25.0,1.218,-0.75,constructive,humble,forecasting,warning,"risk (+24.28), prediction (+3.19), uncertainty (+1.28)","macro (-8.41), rates (-8.41), credit (-3.15)","stance moves from constructive to humble; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+24.28), prediction (+3.19), uncertainty (+1.28); less emphasis on macro (-8.41), rates (-8.41), credit (-3.15)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,So Much That’s False and Nutty,2009-07-08,13.0,1.2128,-0.9111,constructive,alarmed,forecasting,warning,"risk (+14.05), credit (+4.63), psychology (+1.08)","prediction (-18.86), rates (-7.33), macro (-2.94)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+14.05), credit (+4.63), psychology (+1.08); less emphasis on prediction (-18.86), rates (-7.33), macro (-2.94)"
On Regulation,2011-03-02,Gimme Credit,2025-03-06,14.0,1.2123,1.3985,alarmed,constructive,forecasting,forecasting,"credit (+66.15), risk (+10.11), valuation (+7.91)","politics (-18.63), cycles (-4.46), macro (-3.53)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on credit (+66.15), risk (+10.11), valuation (+7.91); less emphasis on politics (-18.63), cycles (-4.46), macro (-3.53)"
"We're Not In 1999 Anymore, Toto",2000-12-31,You Bet!,2026-03-24,25.2,1.2113,0.6351,neutral,constructive,forecasting,forecasting,"valuation (+2.49), uncertainty (+1.96), prediction (+1.25)",risk (-8.19),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+2.49), uncertainty (+1.96), prediction (+1.25); less emphasis on risk (-8.19)"
Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,"We're Not In 1999 Anymore, Toto",2000-12-31,6.9,1.2098,-0.913,opportunistic,neutral,forecasting,forecasting,risk (+6.84),"credit (-14.27), valuation (-11.67), psychology (-7.78)","stance moves from opportunistic to neutral; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+6.84); less emphasis on credit (-14.27), valuation (-11.67), psychology (-7.78)"
First Quarter Performance,1991-04-11,Political Reality,2016-08-17,25.4,1.2083,1.0,cautious,constructive,forecasting,forecasting,"politics (+6.43), macro (+2.22), technology_ai (+0.18)","cycles (-23.12), credit (-12.24), psychology (-5.24)","stance moves from cautious to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.43), macro (+2.22), technology_ai (+0.18); less emphasis on cycles (-23.12), credit (-12.24), psychology (-5.24)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Getting Lucky,2014-01-16,13.0,1.2081,0.622,neutral,constructive,forecasting,forecasting,"valuation (+5.43), credit (+2.06), macro (+1.12)",risk (-8.50),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+5.43), credit (+2.06), macro (+1.12); less emphasis on risk (-8.50)"
"We're Not In 1999 Anymore, Toto",2000-12-31,2020 in Review,2021-03-04,20.2,1.2035,0.7766,neutral,opportunistic,forecasting,forecasting,"macro (+7.81), rates (+6.39), credit (+6.03)",risk (-6.24),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+7.81), rates (+6.39), credit (+6.03); less emphasis on risk (-6.24)"
Investment Miscellany,2000-11-16,Political Reality Meets Economic Reality,2019-01-30,18.2,1.2021,1.1742,alarmed,constructive,warning,forecasting,"politics (+6.30), macro (+6.10), psychology (+0.36)","valuation (-8.66), risk (-5.70), technology_ai (-3.87)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+6.30), macro (+6.10), psychology (+0.36); less emphasis on valuation (-8.66), risk (-5.70), technology_ai (-3.87)"
How's the Market?,1999-04-15,Touchstones,2009-11-10,10.6,1.2005,-0.9717,constructive,alarmed,forecasting,warning,"risk (+11.54), cycles (+2.22), politics (+2.00)","macro (-5.53), rates (-5.31), valuation (-4.25)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+11.54), cycles (+2.22), politics (+2.00); less emphasis on macro (-5.53), rates (-5.31), valuation (-4.25)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Lines in the Sand,2017-04-18,16.3,1.2003,0.625,neutral,constructive,forecasting,forecasting,"valuation (+6.66), rates (+2.00), credit (+1.67)",risk (-8.43),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+6.66), rates (+2.00), credit (+1.67); less emphasis on risk (-8.43)"
First Quarter Performance,1991-04-11,You Can’t Eat IRR,2006-07-12,15.3,1.1994,1.0,cautious,constructive,forecasting,warning,valuation (+19.95),"cycles (-23.12), credit (-11.59), psychology (-5.51)","stance moves from cautious to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+19.95); less emphasis on cycles (-23.12), credit (-11.59), psychology (-5.51)"
"Hey, Steward!!",2004-03-16,On Regulation,2011-03-02,7.0,1.1973,-1.7143,constructive,alarmed,forecasting,forecasting,"politics (+17.98), cycles (+4.46), risk (+4.21)","credit (-1.23), rates (-0.58), valuation (-0.58)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+17.98), cycles (+4.46), risk (+4.21); less emphasis on credit (-1.23), rates (-0.58), valuation (-0.58)"
How Quickly They Forget,2011-05-25,Implications of the Election,2016-11-07,5.5,1.1956,0.9,alarmed,constructive,warning,forecasting,"politics (+15.27), macro (+2.17), technology_ai (+0.57)","credit (-13.82), risk (-11.07), valuation (-5.94)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+15.27), macro (+2.17), technology_ai (+0.57); less emphasis on credit (-13.82), risk (-11.07), valuation (-5.94)"
"We're Not In 1999 Anymore, Toto",2000-12-31,What Really Matters?,2022-11-22,21.9,1.1952,0.7596,neutral,constructive,forecasting,forecasting,"valuation (+7.04), credit (+4.19), macro (+2.52)",risk (-4.57),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+7.04), credit (+4.19), macro (+2.52); less emphasis on risk (-4.57)"
"We're Not In 1999 Anymore, Toto",2000-12-31,The Illusion of Knowledge,2022-09-08,21.7,1.1946,0.4722,neutral,constructive,forecasting,forecasting,"macro (+12.76), rates (+4.02), prediction (+3.85)",risk (-9.26),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+12.76), rates (+4.02), prediction (+3.85); less emphasis on risk (-9.26)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Investing Without People,2018-06-18,17.5,1.1942,0.5652,neutral,opportunistic,forecasting,forecasting,"valuation (+7.91), credit (+3.79), macro (+1.32)",risk (-8.28),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+7.91), credit (+3.79), macro (+1.32); less emphasis on risk (-8.28)"
How Quickly They Forget,2011-05-25,Go Figure!,2026-03-24,14.8,1.194,1.0143,alarmed,constructive,warning,forecasting,"politics (+8.46), macro (+7.87), rates (+5.06)","risk (-11.85), credit (-10.16), valuation (-5.24)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+8.46), macro (+7.87), rates (+5.06); less emphasis on risk (-11.85), credit (-10.16), valuation (-5.24)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Implications of the Election,2016-11-07,15.9,1.1908,0.6,neutral,constructive,forecasting,forecasting,"politics (+15.27), macro (+3.11), psychology (+1.41)",risk (-8.30),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+15.27), macro (+3.11), psychology (+1.41); less emphasis on risk (-8.30)"
"We're Not In 1999 Anymore, Toto",2000-12-31,The Winds of Change,2021-11-23,20.9,1.1903,0.5263,neutral,constructive,forecasting,forecasting,"macro (+6.34), politics (+6.02), technology_ai (+3.17)",risk (-8.64),"stance moves from neutral to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+6.34), politics (+6.02), technology_ai (+3.17); less emphasis on risk (-8.64)"
First Quarter Performance,1991-04-11,"Hey, Steward!!",2004-03-16,12.9,1.1899,1.0,cautious,constructive,forecasting,forecasting,politics (+0.65),"cycles (-23.12), credit (-11.85), psychology (-5.78)","stance moves from cautious to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+0.65); less emphasis on cycles (-23.12), credit (-11.85), psychology (-5.78)"
"We're Not In 1999 Anymore, Toto",2000-12-31,It’s Not Easy,2015-09-09,14.7,1.1889,0.7891,neutral,constructive,forecasting,warning,"valuation (+8.99), prediction (+3.24), risk (+2.08)",none,"stance moves from neutral to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+8.99), prediction (+3.24), risk (+2.08)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Selling Out,2022-01-13,21.0,1.1864,0.8125,neutral,opportunistic,forecasting,forecasting,"valuation (+5.54), prediction (+1.51), credit (+1.01)",risk (-6.91),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+5.54), prediction (+1.51), credit (+1.01); less emphasis on risk (-6.91)"
"Hey, Steward!!",2004-03-16,How Quickly They Forget,2011-05-25,7.2,1.1857,-1.3,constructive,alarmed,forecasting,warning,"credit (+12.75), risk (+11.54), valuation (+4.96)",politics (-0.65),"stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+12.75), risk (+11.54), valuation (+4.96); less emphasis on politics (-0.65)"
What's Going On?,2003-05-16,On Regulation,2011-03-02,7.8,1.1856,-1.4643,opportunistic,alarmed,forecasting,forecasting,"politics (+18.63), macro (+3.65), risk (+1.64)","credit (-24.57), valuation (-7.25), rates (-4.83)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+18.63), macro (+3.65), risk (+1.64); less emphasis on credit (-24.57), valuation (-7.25), rates (-4.83)"
First Quarter Performance,1991-04-11,It’s Not Easy,2015-09-09,24.4,1.1842,0.7891,cautious,constructive,forecasting,warning,"risk (+5.73), valuation (+5.14), prediction (+1.31)","cycles (-23.12), credit (-12.77), psychology (-4.88)","stance moves from cautious to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+5.73), valuation (+5.14), prediction (+1.31); less emphasis on cycles (-23.12), credit (-12.77), psychology (-4.88)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,The Seven Worst Words in the World,2018-09-26,22.2,1.1826,-1.3,constructive,alarmed,forecasting,warning,"credit (+17.71), risk (+7.25), cycles (+2.82)","prediction (-19.06), rates (-1.01), valuation (-0.37)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+17.71), risk (+7.25), cycles (+2.82); less emphasis on prediction (-19.06), rates (-1.01), valuation (-0.37)"
"We're Not In 1999 Anymore, Toto",2000-12-31,Growing the Pie,2019-04-01,18.2,1.1815,0.7308,neutral,opportunistic,forecasting,forecasting,"macro (+6.17), politics (+2.74), psychology (+0.69)",risk (-8.41),"stance moves from neutral to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+6.17), politics (+2.74), psychology (+0.69); less emphasis on risk (-8.41)"
How Quickly They Forget,2011-05-25,You Bet!,2026-03-24,14.8,1.1809,0.9351,alarmed,constructive,warning,forecasting,uncertainty (+1.02),"credit (-13.50), risk (-10.95), rates (-3.75)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on uncertainty (+1.02); less emphasis on credit (-13.50), risk (-10.95), rates (-3.75)"
Investment Miscellany,2000-11-16,Go Figure!,2026-03-24,25.3,1.1796,1.0476,alarmed,constructive,warning,forecasting,"politics (+8.46), rates (+8.44), macro (+7.71)","valuation (-8.86), risk (-5.53), technology_ai (-4.05)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on politics (+8.46), rates (+8.44), macro (+7.71); less emphasis on valuation (-8.86), risk (-5.53), technology_ai (-4.05)"
How Quickly They Forget,2011-05-25,The Illusion of Knowledge,2022-09-08,11.3,1.1794,0.7722,alarmed,constructive,warning,forecasting,"macro (+11.82), prediction (+2.59), politics (+1.40)","credit (-14.39), risk (-12.02), valuation (-3.85)","stance moves from alarmed to constructive; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on macro (+11.82), prediction (+2.59), politics (+1.40); less emphasis on credit (-14.39), risk (-12.02), valuation (-3.85)"
